Donnée recherchée;KQI Informatica;Description KQI;Description du contrôle;Dimension qualité;Projet Informatica;Dossier Informatica;Profil Informatica;Source du profil;Chemin source;Champs contrôlés;Mapping d'entrée;Rule Specification;Description de la règle;Fréquence KQI;Criticité KQI;Seuil KQI;Cible KQI;Élément de rapprochement;ID KQI;ID profil FRS
Flag coté / non coté;KQI_RET_COH_Ecart_SocieteCotee;Mesure la coherence de flag coté / non coté en comparant les champs C_SCTE_COT et societecotee1 afin d'identifier les ecarts entre les sources ou applications controlees dans le profil PROFIL_BCPRET_ECART_DONNEES_SIGNALITIQUES_2, alimente par m_ret_bcp_donnees_signalitiques2.csv.;Non renseignée;Consistency;BPI_CDQ_RET;PROFIL;PROFIL_BCPRET_ECART_DONNEES_SIGNALITIQUES_2;m_ret_bcp_donnees_signalitiques2.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;C_SCTE_COT | societecotee1;NewInput1 <- C_SCTE_COT | NewInput2 <- societecotee1;RQ_RET_COH_General;règle d'écart entre les champs entre RET et BCP;Daily;High;80.0;95.0;"Nom du KQI: cotee, societe cote ; Champs source: cotee, societe cote ; Mapping d'entrée: cotee, societe cote";6fb0de57-6787-44bc-9417-06dcdfca322a;97WlJFJKR2DkwjM9xYwier
Forme juridique;KQI_BCPRET_COH_Ecart_CategJuridique;Mesure la coherence de forme juridique en verifiant que le champ REGLE_RET_COH_CATEGORIEJURIDIQUE ne presente pas d'ecart metier selon la regle RQ_RET_BCPRET_COH_ECART dans le profil PROFIL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI, alimente par CTL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI.csv.;Non renseignée;Consistency;BPI_CDQ_RETBCP;Profil;PROFIL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI;CTL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;REGLE_RET_COH_CATEGORIEJURIDIQUE;NewInput1 <- REGLE_RET_COH_CATEGORIEJURIDIQUE;RQ_RET_BCPRET_COH_ECART;;Daily;High;80.0;95.0;Nom du KQI: categjuridique;3f9deabd-115b-4ecb-99db-8a10526ae209;4Qi9P376M7ii9rJtogcRaL
Forme juridique;KQI_BCPRET_COH_Ecart_FormeJuridique;Mesure la coherence de forme juridique en verifiant que le champ REGLE_RET_COH_FORMEJURIDIQUE ne presente pas d'ecart metier selon la regle RQ_RET_BCPRET_COH_ECART dans le profil PROFIL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI, alimente par CTL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI.csv.;Non renseignée;Consistency;BPI_CDQ_RETBCP;Profil;PROFIL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI;CTL_RETBCP_FORME_CATEGORIE_JURIDIQUE_BAFI.csv;bpi-fr-dag-prod-raw-bucket/CTLRET%2F;REGLE_RET_COH_FORMEJURIDIQUE;NewInput1 <- REGLE_RET_COH_FORMEJURIDIQUE;RQ_RET_BCPRET_COH_ECART;;Daily;High;80.0;95.0;"Nom du KQI: forme juridique ; Champs source: forme juridique ; Mapping d'entrée: forme juridique";f8f9b062-d008-4003-a0cc-be9378adb0fe;4Qi9P376M7ii9rJtogcRaL
Groupe bénéficiaire;KQI_CLI_ACT_BeneficiaryGroup_001;Mesure l'actualite de groupe bénéficiaire en verifiant que les champs eventDate et b_isconsolidatedlinkbygroup est mis a jour selon l'exigence metier dans le profil Profile_CLI_vw_party_beneficiary_group_v1, alimente par tmp_cli_ret_benefgrp_vw.csv.;Non renseignée;Timeliness;BPI_CDQ_CLI;PROFIL;Profile_CLI_vw_party_beneficiary_group_v1;tmp_cli_ret_benefgrp_vw.csv;bpi-fr-dag-prod-usecases-bucket/CLI%2F;eventDate | b_isconsolidatedlinkbygroup;eventDate <- eventDate | b_isconsolidatedlinkbygroup <- b_isconsolidatedlinkbygroup;RQ_CLI_ACT_RET_Groupe_bénéficiaire;EQ_Actualité : Le groupe bénéficiaire doit avoir un lien consolidant mis à jour après 2019;Daily;High;80.0;95.0;"Nom du KQI: beneficiarygroup ; Rule Specification: beneficiaire, groupe benef, groupe beneficiaire ; Profil: beneficiarygroup";b9c70a15-2d5f-47c7-ab91-e35a7e4fddec;76WvgbE7NBIj3xwfpSOvY4
Groupe bénéficiaire;KQI_RET_BCP_COH_Groupes_Beneficiaires;Mesure la coherence de groupe bénéficiaire en verifiant que le champ sortie ne presente pas d'ecart metier selon la regle RQ_RET_COH_Ecart2 dans le profil PROFIL_RET_BCP_Groupe_Beneficiaire, alimente par test_concat_grp_bnf_test.csv.;Non renseignée;Consistency;BPI_CDQ_RETBCP;Profil;PROFIL_RET_BCP_Groupe_Beneficiaire;test_concat_grp_bnf_test.csv;bpi-fr-dag-prod-raw-bucket/users%2F/ret%2F;sortie;NewInput1 <- sortie;RQ_RET_COH_Ecart2;"Si le début commence par ""Pas d ecart"", alors valide, sinon Invalide";Daily;High;0.0;0.0;"Nom du KQI: beneficiaire ; Profil: beneficiaire, groupe benef, groupe beneficiaire";293e45d4-cc38-4d6c-8480-bfc8985b7060;4pdiuNYNMaGi1WfvPhaSGV
Identifiant du contrat;KQI_RCT_COM_customer_agreement_customer_agreement_identifier_PFA;Mesure la completude de identifiant du contrat en verifiant que le champ customer_agreement_identifier est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_customer_agreement, alimente par customer_agreement.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_customer_agreement;customer_agreement;AwsDataCatalog/database_pfa_prod;customer_agreement_identifier;In_Field1 <- customer_agreement_identifier;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: agreement identifier, agreementidentifier ; Champs source: agreement identifier, agreementidentifier ; Mapping d'entrée: agreement identifier, agreementidentifier";00a1cac6-c5d6-49e9-9189-b3dc63f675ef;6W6gpO2miOveidmHhbD2sv
Identifiant du contrat;KQI_RCT_COM_Vue_acheteur_customer_agreement_identifier;Mesure la completude de identifiant du contrat en verifiant que le champ customer_agreement_identifier est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_Vue_acheteur, alimente par vue_rct_pfa_acheteur.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_Vue_acheteur;vue_rct_pfa_acheteur;AwsDataCatalog/database_pfa_prod;customer_agreement_identifier;NewInput1 <- customer_agreement_identifier;RQ_RCT_COH_notnull;Complétude  : vérifier que le champ est bien renseigné.;Daily;High;80.0;95.0;"Nom du KQI: agreement identifier, agreementidentifier ; Champs source: agreement identifier, agreementidentifier ; Mapping d'entrée: agreement identifier, agreementidentifier";c407635e-5479-4b9d-bc27-457371e8d443;15r95Vcdb1KlJu8IIczYyi
Identifiant du contrat;KQI_RCT_COM_Vue_fournisseur_pfa_customer_agreement_identifier;Mesure la completude de identifiant du contrat en verifiant que le champ customer_agreement_identifier est renseigne pour les enregistrements controles dans le profil Profile_RCT_PFA_Vue_fournisseur, alimente par vue_rct_pfa_fournisseur.;Non renseignée;Completeness;BPI_CDQ_RCT;PROFIL;Profile_RCT_PFA_Vue_fournisseur;vue_rct_pfa_fournisseur;AwsDataCatalog/database_pfa_prod;customer_agreement_identifier;NewInput1 <- customer_agreement_identifier;RQ_RCT_COH_notnull;Complétude  : vérifier que le champ est bien renseigné.;Daily;High;80.0;95.0;"Nom du KQI: agreement identifier, agreementidentifier ; Champs source: agreement identifier, agreementidentifier ; Mapping d'entrée: agreement identifier, agreementidentifier";cce73086-1db0-4e56-9351-404c2f2631d2;2lLhGRSouYvemzxdXwIaU6
Identifiant du Tiers;KQI_CFR_COM_N_PART_Characteristics_Credit;Mesure la completude de identifiant du Tiers en verifiant que le champ N_PART est renseigne pour les enregistrements controles dans le profil Profil_CFR_Characteristics, alimente par part-00000-0eb97bf8-d4a4-4536-ad75-7f14618a29b1.c000.csv.;Non renseignée;Completeness;BPI_CDQ_CFR;PROFIL;Profil_CFR_Characteristics;part-00000-0eb97bf8-d4a4-4536-ad75-7f14618a29b1.c000.csv;bpi-fr-prod-pda-dlk-trusted/CORPORATE%2FCOMPTOIR_FINANCERISK%2F/MOU%2F/APIS%2F/InstrumentCredit%2F/characteristics%2F/eventdate%3D2024-09-30%2F/SIG%3DALL%2F;N_PART;In_Field1 <- N_PART;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: n part ; Champs source: n part ; Mapping d'entrée: n part";886d5503-2802-4733-9c14-b09513e12d83;0fSo5LgwWe2bJ6l6gpUfo3
Identifiant du Tiers;KQI_CFR_COM_N_PART_characteristics_in_numeramasterlink;Mesure la completude de identifiant du Tiers en verifiant que le champ _N_PART est renseigne pour les enregistrements controles dans le profil Profil_CFR_characteristics_tiers_vs_numeramasterlink, alimente par characteristics_tiers_vs_numeramasterlink.csv.;Non renseignée;Completeness;BPI_CDQ_CFR;PROFIL;Profil_CFR_characteristics_tiers_vs_numeramasterlink;characteristics_tiers_vs_numeramasterlink.csv;bpi-fr-dag-prod-raw-bucket/users%2F/CFR%2F;_N_PART;In_Field1 <- _N_PART;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: n part ; Champs source: n part ; Mapping d'entrée: n part";59e0a501-6071-41a1-a51f-20b1cd742a18;9aeMEFxwAT8foN9vUN2JEp
Identifiant du Tiers;KQI_CFR_COM_N_PART_characteristics_tiers;Mesure la completude de identifiant du Tiers en verifiant que le champ N_PART est renseigne pour les enregistrements controles dans le profil Profil_CFR_Characteristics_tiers, alimente par part-00000-8de3b7c3-db4e-4959-972f-3ec362351ed8.c000.csv.;Non renseignée;Completeness;BPI_CDQ_CFR;PROFIL;Profil_CFR_Characteristics_tiers;part-00000-8de3b7c3-db4e-4959-972f-3ec362351ed8.c000.csv;bpi-fr-prod-pda-dlk-trusted/CORPORATE%2FCOMPTOIR_FINANCERISK%2F/MOU%2F/APIS%2F/party%2F/characteristics%2F/eventdate%3D2024-03-04%2F;N_PART;In_Field1 <- N_PART;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: n part ; Champs source: n part ; Mapping d'entrée: n part";a421eae5-7ede-4684-ad94-6e68d31a54a4;1afZ8tQgfeok7IbvgTkcoi
Identifiant du Tiers;KQI_CFR_COM_N_PART_Party_roles;Mesure la completude de identifiant du Tiers en verifiant que le champ N_PART est renseigne pour les enregistrements controles dans le profil Profil_CFR_Party_Roles, alimente par part-00000-f665ce1b-8fd1-4c2c-a873-8ff071189592.c000.csv.;Non renseignée;Completeness;BPI_CDQ_CFR;PROFIL;Profil_CFR_Party_Roles;part-00000-f665ce1b-8fd1-4c2c-a873-8ff071189592.c000.csv;bpi-fr-prod-pda-dlk-trusted/CORPORATE%2FCOMPTOIR_FINANCERISK%2F/MOU%2F/APIS%2F/InstrumentCredit%2F/party_roles%2F/eventdate%3D2024-02-27%2F/SIG%3DALL%2F;N_PART;In_Field1 <- N_PART;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;80.0;95.0;"Nom du KQI: n part ; Champs source: n part ; Mapping d'entrée: n part";c2f48b9c-fe8e-4e8e-91a8-75fca1624851;gfR18WBvuqogahjAL2EhA0
Identifiant du Tiers;KQI_CFR_COM_NUMERA_numeramasterlink_vs_characteristics_tiers;Mesure l'unicite de identifiant du Tiers en verifiant que le champ RQ_CFR_1 ne genere pas de doublons ou d'anomalies de rapprochement dans le profil Profil_CFR_numeramsterlink_doublon_NUMERA, alimente par newtest.csv.;Non renseignée;Uniqueness;BPI_CDQ_CFR;PROFIL;Profil_CFR_numeramsterlink_doublon_NUMERA;newtest.csv;bpi-fr-dag-prod-raw-bucket/users%2F/CFR%2F;RQ_CFR_1;Input <- RQ_CFR_1;Rs_CFR_OK_KO;;Daily;High;80.0;95.0;"Nom du KQI: numera ; Profil: numera";acf75501-c6ac-4de5-9b7a-1ecc6fdadecd;8DLHmaSpN06lWzhecKWWOr
Identifiant du Tiers;KQI_CFR_UNI_N_part_characteristics_tiers;Mesure l'unicite de identifiant du Tiers en verifiant que le champ Nombre_N_part ne genere pas de doublons ou d'anomalies de rapprochement dans le profil Profil_CFR_Characteristics_tiers_N_PART_Doublons, alimente par CFR_Characteristics_tiers_doublon_N_part.csv.;Non renseignée;Uniqueness;BPI_CDQ_CFR;PROFIL;Profil_CFR_Characteristics_tiers_N_PART_Doublons;CFR_Characteristics_tiers_doublon_N_part.csv;bpi-fr-dag-prod-raw-bucket/users%2F/CFR%2F;Nombre_N_part;Input <- Nombre_N_part;Rs_CFR_doublon;;Daily;High;80.0;95.0;"Nom du KQI: n part ; Champs source: n part ; Mapping d'entrée: n part ; Profil: n part ; Source: n part";535ef052-fe18-4a14-9f72-c5518dc4c613;1sMFwxr353thFKK8VLEJG9
Identifiant du Tiers;Nom KQI non renseigné;Mesure la conformite du LEI en verifiant que l'identifiant tiers respecte le format attendu de 20 caracteres selon la norme ISO 17442 dans le profil Profil_cli_ret_organis_tobedeleted, alimente par tmp_cli_ret_organisation_party_identification_vw.csv.;Non renseignée;;BPI_CDQ_CLI;PROFIL;Profil_cli_ret_organis_tobedeleted;tmp_cli_ret_organisation_party_identification_vw.csv;bpi-fr-dag-prod-usecases-bucket/CLI%2F;organisationpartyidentificationvalue | organisationpartyidentificationtypeid;organisationpartyidentificationvalue <- organisationpartyidentificationvalue | organisationpartyidentificationtypeid <- organisationpartyidentificationtypeid;RQ_CLI_CON_RET_LEI;EQ_Conformité : le format du LEI doit être de 20 caractères conformément à la norme internationale ISO 17442 : 2012;;;;;"Champs source: n part, organisationpartyid ; Mapping d'entrée: n part, organisationpartyid ; Source: n part, organisationpartyid";abdfdca3-c1f0-41fc-9174-f58d7d362150;9JypGycFKeIgZ9Lf9BzP6o
Identifiant du Tiers;KQI_ESG_COM_organisationpartyid_QSC_CV;Mesure la completude de identifiant du Tiers en verifiant que le champ organisationpartyid est renseigne pour les enregistrements controles dans le profil Profil_ESG_qclimat_coq_vert, alimente par coq_vert.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_qclimat_coq_vert;coq_vert;AwsDataCatalog/corp_esg_qclimat_production_verte;organisationpartyid;In_Field1 <- organisationpartyid;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;85.0;100.0;"Nom du KQI: n part, organisationpartyid ; Champs source: n part, organisationpartyid ; Mapping d'entrée: n part, organisationpartyid";f733fadb-b2b8-49bf-9e95-38eddb94ab4f;7oeD0GxYVyskBUdEkV6JAj
Identifiant du Tiers;KQI_ESG_COM_organisationpartylocalid_QSC_CV;Mesure la completude de identifiant du Tiers en verifiant que le champ organisationpartylocalid est renseigne pour les enregistrements controles dans le profil Profil_ESG_qclimat_coq_vert, alimente par coq_vert.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_qclimat_coq_vert;coq_vert;AwsDataCatalog/corp_esg_qclimat_production_verte;organisationpartylocalid;In_Field1 <- organisationpartylocalid;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;85.0;100.0;"Nom du KQI: n part ; Champs source: n part ; Mapping d'entrée: n part";bdd9a4b4-fc7a-4117-a93c-4d584150b5d1;7oeD0GxYVyskBUdEkV6JAj
Identifiant du Tiers;KQI_ESG_COM_PFI_organisationpartyid;Mesure la completude de identifiant du Tiers en verifiant que le champ organisationpartyid est renseigne pour les enregistrements controles dans le profil Profil_ESG_pfii_party_financial_information, alimente par pfii_party_financial_information_vw.;Non renseignée;Completeness;BPI_CDQ_ESG;Profil;Profil_ESG_pfii_party_financial_information;pfii_party_financial_information_vw;AwsDataCatalog/corp_esg_db_expcarb_p;organisationpartyid;In_Field1 <- organisationpartyid;rs_check_input_is_not_null;Verifies if the input is null.;Daily;High;85.0;100.0;"Nom du KQI: n part, organisationpartyid ; Champs source: n part, organisationpartyid ; Mapping d'entrée: n part, organisationpartyid";f5b58663-ec68-4d91-ad10-3a85179079fc;jUwVJe1oki7jwp0VGhnuMu
Identifiant du Tiers;KQI_ESG_CON_COTC_organisationpartyid_type_taille;Mesure la coherence de identifiant du Tiers en verifiant que le champ organisationpartyid ne presente pas d'ecart metier selon la regle RQ_ESG_CON_Type_Taille_Id1 dans le profil profil_ESG_COTC_TENANT_1, alimente par cotc_co2_target_charter_vw.;Non renseignée;Consistency;BPI_CDQ_ESG;Profil;profil_ESG_COTC_TENANT_1;cotc_co2_target_charter_vw;AwsDataCatalog/corp_esg_db_mom_p;organisationpartyid;NewInput1 <- organisationpartyid;RQ_ESG_CON_Type_Taille_Id1;L'identifiant doit être au format numérique ne dépasse 11 caractères ;Daily;High;85.0;100.0;"Nom du KQI: n part, organisationpartyid ; Champs source: n part, organisationpartyid ; Mapping d'entrée: n part, organisationpartyid";46e62cfc-d9e4-4847-97c4-ec11fffda52d;3EESkmG0mkAlKk10WPD9as
Identifiant du Tiers;KQI_ESG_CON_PAIN_organisationpartyid;Mesure la coherence de identifiant du Tiers en verifiant que le champ organisationpartyid ne presente pas d'ecart metier selon la regle RQ_ESG_CON_Type_Taille_Id1 dans le profil Profil_ESG_PAIN_Principal_Adverse_Impact_vw_1, alimente par pain_principal_adverse_impact_vw.;Non renseignée;Consistency;BPI_CDQ_ESG;Profil;Profil_ESG_PAIN_Principal_Adverse_Impact_vw_1;pain_principal_adverse_impact_vw;AwsDataCatalog/corp_esg_db_confidential_p;organisationpartyid;NewInput1 <- organisationpartyid;RQ_ESG_CON_Type_Taille_Id1;L'identifiant doit être au format numérique ne dépasse 11 caractères ;Daily;High;85.0;100.0;"Nom du KQI: n part, organisationpartyid ; Champs source: n part, organisationpartyid ; Mapping d'entrée: n part, organisationpartyid";81ada7e3-42c0-4f77-ab64-2f18928bd8c2;aMJdLTEObGjlL7xrhJfb2T
